2025-04-06 14:56:12 | POST /api/login | Controller: Project.Controllers.LoginController.Login (Project) | User: Anonymous | Duration: 89ms | Status: 200
2025-04-06 14:57:13 | GET /User/3 | Controller: Project.Controllers.UserController.Get (Project) | User: Anonymous | Duration: 6ms | Status: 200
2025-04-07 00:06:20 | POST /api/login | Controller: Project.Controllers.LoginController.Login (Project) | User: Anonymous | Duration: 98ms | Status: 200
2025-04-07 00:06:44 | GET /Book | Controller: Project.Controllers.BookController.Get (Project) | User: Anonymous | Duration: 25ms | Status: 200
2025-04-07 14:23:40 | GET /book | Controller: Project.Controllers.BookController.Get (Project) | User: Anonymous | Duration: 14ms | Status: 401
2025-04-07 14:24:43 | POST /api/login | Controller: Project.Controllers.LoginController.Login (Project) | User: Anonymous | Duration: 134ms | Status: 200
2025-04-07 14:26:11 | DELETE /User/2 | Controller: Project.Controllers.UserController.Delete (Project) | User: Anonymous | Duration: 23ms | Status: 200
2025-04-07 14:56:19 | POST /api/login | Controller: Project.Controllers.LoginController.Login (Project) | User: Anonymous | Duration: 97ms | Status: 200
2025-04-07 14:57:05 | DELETE /User/2 | Controller: Project.Controllers.UserController.Delete (Project) | User: Anonymous | Duration: 30ms | Status: 200
2025-04-07 22:28:29 | GET /book | Controller: Project.Controllers.BookController.Get (Project) | User: Anonymous | Duration: 14ms | Status: 401
2025-04-07 22:28:30 | GET /favicon.ico | Controller: Unknown | User: Anonymous | Duration: 0ms | Status: 404
2025-04-07 22:29:53 | GET /book | Controller: Project.Controllers.BookController.Get (Project) | User: Anonymous | Duration: 9ms | Status: 401
2025-04-07 22:29:57 | GET /book | Controller: Project.Controllers.BookController.Get (Project) | User: Anonymous | Duration: 3ms | Status: 401
2025-04-07 22:33:29 | POST /book | Controller: Project.Controllers.BookController.Post (Project) | User: Anonymous | Duration: 4ms | Status: 401
2025-04-07 22:33:30 | POST /book | Controller: Project.Controllers.BookController.Post (Project) | User: Anonymous | Duration: 1ms | Status: 401
2025-04-07 22:33:30 | POST /book | Controller: Project.Controllers.BookController.Post (Project) | User: Anonymous | Duration: 3ms | Status: 401
2025-04-07 22:33:30 | POST /book | Controller: Project.Controllers.BookController.Post (Project) | User: Anonymous | Duration: 1ms | Status: 401
2025-04-07 22:33:30 | POST /book | Controller: Project.Controllers.BookController.Post (Project) | User: Anonymous | Duration: 2ms | Status: 401
2025-04-07 22:33:32 | POST /book | Controller: Project.Controllers.BookController.Post (Project) | User: Anonymous | Duration: 2ms | Status: 401
2025-04-07 22:33:32 | POST /book | Controller: Project.Controllers.BookController.Post (Project) | User: Anonymous | Duration: 1ms | Status: 401
2025-04-07 22:42:38 | GET /book | Controller: Project.Controllers.BookController.Get (Project) | User: Anonymous | Duration: 13ms | Status: 401
2025-04-07 22:42:43 | GET /book | Controller: Project.Controllers.BookController.Get (Project) | User: Anonymous | Duration: 3ms | Status: 401
2025-04-07 22:42:50 | GET /book | Controller: Project.Controllers.BookController.Get (Project) | User: Anonymous | Duration: 4ms | Status: 401
2025-04-07 22:44:14 | GET /book | Controller: Project.Controllers.BookController.Get (Project) | User: Anonymous | Duration: 4ms | Status: 401
2025-04-07 22:44:15 | GET /book | Controller: Project.Controllers.BookController.Get (Project) | User: Anonymous | Duration: 1ms | Status: 401
2025-04-07 22:51:31 | GET /favicon.ico | Controller: Unknown | User: Anonymous | Duration: 0ms | Status: 404
2025-04-07 22:51:48 | GET /book | Controller: Project.Controllers.BookController.Get (Project) | User: Anonymous | Duration: 10ms | Status: 401
2025-04-08 14:07:50 | GET /js/login.js | Controller: Unknown | User: Anonymous | Duration: 1ms | Status: 404
2025-04-08 14:07:53 | GET /js/login.js | Controller: Unknown | User: Anonymous | Duration: 0ms | Status: 404
2025-04-08 14:10:24 | GET /js/script.js | Controller: Unknown | User: Anonymous | Duration: 0ms | Status: 404
2025-04-08 14:11:02 | GET /js/script.js | Controller: Unknown | User: Anonymous | Duration: 0ms | Status: 404
2025-04-08 14:15:21 | GET /js/login.js | Controller: Unknown | User: Anonymous | Duration: 2ms | Status: 404
2025-04-08 14:15:26 | GET /js/login.js | Controller: Unknown | User: Anonymous | Duration: 0ms | Status: 404
2025-04-08 14:15:36 | GET /js/login.js | Controller: Unknown | User: Anonymous | Duration: 0ms | Status: 404
2025-04-08 14:15:46 | GET /js/login.js | Controller: Unknown | User: Anonymous | Duration: 0ms | Status: 404
2025-04-08 14:16:02 | GET /js/login.js | Controller: Unknown | User: Anonymous | Duration: 0ms | Status: 404
2025-04-08 14:16:30 | GET /js/login.js | Controller: Unknown | User: Anonymous | Duration: 0ms | Status: 404
2025-04-08 14:18:01 | GET /js/login.js | Controller: Unknown | User: Anonymous | Duration: 1ms | Status: 404
